KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.894669819564345e+00,1.659586907437561e-01,1.811896260489095e+00,8.532211212888307e-01,1.025846109674727e+00,3.160516620386723e-01,3.096354562038672e+00,1.260765564630492e+01
1.892329037415073e+00,1.698243652461745e-01,1.808894267419656e+00,8.510894468160231e-01,1.026410935645138e+00,3.194271835287968e-01,3.095676683528797e+00,1.260915476964212e+01
1.889938526026674e+00,1.737800828749376e-01,1.805853255809184e+00,8.489354297258117e-01,1.026987385759451e+00,3.228329952334280e-01,3.094993395233428e+00,1.261070489058111e+01
1.887497323413834e+00,1.778279410038924e-01,1.802772946213738e+00,8.467590500695003e-01,1.027575671082623e+00,3.262694159416504e-01,3.094304815941650e+00,1.261230758520998e+01
1.885004452807415e+00,1.819700858609984e-01,1.799653061586681e+00,8.445602923010911e-01,1.028176005563656e+00,3.297363715466941e-01,3.093611071546694e+00,1.261396447389691e+01
1.882458922609177e+00,1.862087136662869e-01,1.796493329379746e+00,8.423391473131875e-01,1.028788605871449e+00,3.332340947342670e-01,3.092912294734267e+00,1.261567721828009e+01
1.879859726337895e+00,1.905460717963248e-01,1.793293480307286e+00,8.400956111366176e-01,1.029413691536206e+00,3.367626255542955e-01,3.092208625554296e+00,1.261744752552491e+01
1.877205842496589e+00,1.949844599758047e-01,1.790053249189421e+00,8.378296857970223e-01,1.030051484778251e+00,3.403221111012191e-01,3.091500211101219e+00,1.261927714524908e+01
1.874496234663720e+00,1.995262314968881e-01,1.786772375003988e+00,8.355413791926882e-01,1.030702210672460e+00,3.439127061585671e-01,3.090787206158567e+00,1.262116787439998e+01
1.871729851334390e+00,2.041737944669531e-01,1.783450600842433e+00,8.332307050925338e-01,1.031366097011328e+00,3.475345729847698e-01,3.090069772984770e+00,1.262312155507730e+01
1.868905625911903e+00,2.089296130854041e-01,1.780087673250715e+00,8.308976823938334e-01,1.032043374412327e+00,3.511875818097335e-01,3.089348081809733e+00,1.262514007816571e+01
1.866022476766976e+00,2.137962089502234e-01,1.776683344640763e+00,8.285423374141515e-01,1.032734276133738e+00,3.548721104961686e-01,3.088622310496168e+00,1.262722538014779e+01
